"","ko","ko_description"
"248","K00549","metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]"
"249","K00550","PLMT; phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.71]"
"250","K00551","PEMT; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]"
"251","K00552","GNMT; glycine N-methyltransferase [EC:2.1.1.20]"
"252","K00553","PNMT; phenylethanolamine N-methyltransferase [EC:2.1.1.28]"
"253","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"254","K00559","SMT1, ERG6; sterol 24-C-methyltransferase [EC:2.1.1.41]"
"255","K00560","thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
"256","K00568","ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]"
"257","K00570","pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]"
"258","K00577","mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:7.2.1.4]"
"259","K00578","mtrB; tetrahydromethanopterin S-methyltransferase subunit B [EC:7.2.1.4]"
"260","K00579","mtrC; tetrahydromethanopterin S-methyltransferase subunit C [EC:7.2.1.4]"
"261","K00580","mtrD; tetrahydromethanopterin S-methyltransferase subunit D [EC:7.2.1.4]"
"262","K00581","mtrE; tetrahydromethanopterin S-methyltransferase subunit E [EC:7.2.1.4]"
"263","K00582","mtrF; tetrahydromethanopterin S-methyltransferase subunit F [EC:7.2.1.4]"
"264","K00583","mtrG; tetrahydromethanopterin S-methyltransferase subunit G [EC:7.2.1.4]"
"265","K00584","mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:7.2.1.4]"
"266","K00588","E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]"
"267","K00589","MET1; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]"
"268","K00591","COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]"
"269","K00595","cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]"
"270","K00600","glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
"271","K00601","E2.1.2.2; phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]"
"272","K00602","purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"273","K00603","fctD; glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]"
"274","K00605","gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]"
"275","K00606","panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]"
"276","K00608","pyrBI; aspartate carbamoyltransferase [EC:2.1.3.2]"
"277","K00609","pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"278","K00610","pyrI; aspartate carbamoyltransferase regulatory subunit"
"279","K00611","OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]"
"280","K00613","GATM; glycine amidinotransferase [EC:2.1.4.1]"
"281","K00615","E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
"282","K00616","TALDO1, talB, talA; transaldolase [EC:2.2.1.2]"
"283","K00618","ARG2; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"284","K00619","argA; amino-acid N-acetyltransferase [EC:2.3.1.1]"
"285","K00620","argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]"
